Date,Country,Lat,Long,Confirmed,Deaths,GDP_Nominal_per_capta,Province/State,pop,urbanpop,density,medianage,smokers,tests,testpop,health_exp_pc,hospibed,quarantine,schools,restrictions,temperature,humidity,recovered
2020-02-25,Algeria,28.0339,1.6596,1,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,26,19,0
2020-02-26,Algeria,28.0339,1.6596,1,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,28,15,0
2020-02-27,Algeria,28.0339,1.6596,1,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,28,14,0
2020-02-28,Algeria,28.0339,1.6596,1,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,29,20,0
2020-02-29,Algeria,28.0339,1.6596,1,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,31,16,0
2020-03-01,Algeria,28.0339,1.6596,1,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,31,13,0
2020-03-02,Algeria,28.0339,1.6596,3,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,31,11,0
2020-03-03,Algeria,28.0339,1.6596,5,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,31,15,0
2020-03-04,Algeria,28.0339,1.6596,12,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,31,21,0
2020-03-05,Algeria,28.0339,1.6596,12,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,31,23,0
2020-03-06,Algeria,28.0339,1.6596,17,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,33,15,0
2020-03-07,Algeria,28.0339,1.6596,17,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,27,22,0
2020-03-08,Algeria,28.0339,1.6596,19,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,24,20,0
2020-03-09,Algeria,28.0339,1.6596,20,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,25,20,0
2020-03-10,Algeria,28.0339,1.6596,20,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,26,21,0
2020-03-11,Algeria,28.0339,1.6596,20,0,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,25,26,0
2020-03-12,Algeria,28.0339,1.6596,24,1,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,28,26,8
2020-03-13,Algeria,28.0339,1.6596,26,2,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,31,19,8
2020-03-14,Algeria,28.0339,1.6596,37,3,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,33,13,12
2020-03-15,Algeria,28.0339,1.6596,48,4,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,34,10,12
2020-03-16,Algeria,28.0339,1.6596,54,4,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,33,10,12
2020-03-17,Algeria,28.0339,1.6596,60,4,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,32,13,12
2020-03-18,Algeria,28.0339,1.6596,74,7,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,34,11,12
2020-03-19,Algeria,28.0339,1.6596,87,9,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,34,17,32
2020-03-20,Algeria,28.0339,1.6596,90,11,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,28,16,32
2020-03-21,Algeria,28.0339,1.6596,139,15,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,30,20,32
2020-03-22,Algeria,28.0339,1.6596,201,17,4363,,43851044,32011262,18,29,6840762.864,-999,-999,292,1.9,-999,-999,-999,31,23,65
