Data,Municipio,confirmados,Mortos,população,confirmado_100K,taxa_mortalidade,Área,População,dens_demog,tx_cresc_pop,grau_urb,ind_env,pop_menor_15,pop_60_mais,razao_sexo,Qtd_Leitos_UTI_Adulto,SUS_adulto,Qtd_Leitos_UTI_Pediatrica,SUS_Pediatrica
2020-03-18,São Caetano do Sul,6,0,161127,3.72377,,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-03-18,São Paulo,214,3,12252023,1.74665,0.014,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-17,Guarulhos,1,0,1379182,0.07251,,"318,68",1.351.275,"4240,23","1,02","100,00","57,41","20,97","12,04","95,01",13,0,2,0
2020-03-17,São Bernardo do Campo,1,0,838936,0.1192,,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-03-17,São Caetano do Sul,1,0,161127,0.62063,,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-03-17,São Paulo,156,1,12252023,1.27326,0.0064,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-16,São Bernardo do Campo,1,0,838936,0.1192,,"409,53",812.086,"1982,97","0,60","98,39","81,93","18,38","15,06","93,57",70,0,10,0
2020-03-16,São Caetano do Sul,1,0,161127,0.62063,,"15,33",151.244,"9865,88","0,14","100,00","157,50","14,66","23,10","86,82",20,0,4,0
2020-03-16,São Paulo,145,0,12252023,1.18348,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-14,São Paulo,62,0,12252023,0.50604,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-12,São Paulo,44,0,12252023,0.35912,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-11,São Paulo,29,0,12252023,0.2367,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-10,São Paulo,18,0,12252023,0.14691,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-09,São Paulo,15,0,12252023,0.12243,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-08,São Paulo,15,0,12252023,0.12243,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-07,São Paulo,12,0,12252023,0.09794,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-05,São Paulo,6,0,12252023,0.04897,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-04,São Paulo,3,0,12252023,0.02449,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-03,São Paulo,2,0,12252023,0.01632,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-02,São Paulo,2,0,12252023,0.01632,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-03-01,São Paulo,2,0,12252023,0.01632,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-02-29,São Paulo,2,0,12252023,0.01632,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-02-28,São Paulo,2,0,12252023,0.01632,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-02-27,São Paulo,1,0,12252023,0.00816,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-02-26,São Paulo,1,0,12252023,0.00816,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
2020-02-25,São Paulo,1,0,12252023,0.00816,,"1.521,11",11.869.660,"7803,29","0,54","99,10","82,20","18,99","15,61","90,89",30,0,10,0
